SEQ_AREA;Área;VAL_NACIONAL;DSC_FASE;tem correspondente?
2502;DJM;23.963.030.645.999.900;Desenvolvimento;Não
2502;DJM;10.662.432.831.452.800;Produção;Não
3488;DO;12.699.138.351.000.000;Desenvolvimento;Não
3488;DO;30.592.490.797.000.000;Produção;Não
4045;DÓ-RÉ-MI;6.250.061.371.337.350;Desenvolvimento;Não
4045;DÓ-RÉ-MI;16.526.447.431.402.900;Produção;Não
2851;EM;11269523.31;Desenvolvimento;Não
1252;EN;951682023.01;Desenvolvimento;Não
1252;EN;1.197.759.977.931.890;Produção;Não
1253;ENO;2.316.950.951.300.000;Desenvolvimento;Não
1253;ENO;10.587.530.594.798.400;Produção;Não
1299;EP;91586566.1;Desenvolvimento;Não
1299;EP;6.030.429.038.945.810;Produção;Não
1366;ES-M-414;10737215.97;Desenvolvimento;Não
1394;ES-M-525;5.499.725.989.999.990;Desenvolvimento;Não
1395;ES-M-527;4.307.283.417.999.990;Desenvolvimento;Não
1403;ES-M-594;5567050.07;Desenvolvimento;Não
1254;ESP;2312006857.86;Desenvolvimento;Não
1254;ESP;699.138.976.888.187;Produção;Não
1459;ES-T-419;2624000;Produção;Não
2154;ET;19.701.600.694.900.000;Desenvolvimento;Não
2154;ET;22.426.051.186.472.400;Produção;Não
2503;FA;29.351.071.599.999.900;Desenvolvimento;Não
2503;FA;16.137.672.106.157.000;Produção;Não
1485;FAL;11.940.826.441.200.000;Desenvolvimento;Não
1485;FAL;15.527.858.485.892.600;Produção;Não
2504;FAP;3.263.419.029.999.990;Desenvolvimento;Não
2504;FAP;7.814.712.766.834.500;Produção;Não
2505;FAV;17.963.690.964.000.000;Desenvolvimento;Não
2505;FAV;3.171.407.582.850.910;Produção;Não
4130;FAZENDA GUINDASTE;13.338.309.977.688;Desenvolvimento;Sim
4130;FAZENDA GUINDASTE;218000;Produção;Sim
4131;FAZENDA PAU BRASIL;87300;Desenvolvimento;Sim
4131;FAZENDA PAU BRASIL;63.437.321.561.003;Produção;Sim
3844;FAZENDA RIO BRANCO;4.950.611.725.268.660;Produção;Sim
3845;FAZENDA SANTO ESTEVÃO;22.456.952.377.891.000;Produção;Sim
4332;FAZENDA SÃO RAFAEL;2984705.73;Desenvolvimento;Sim
4332;FAZENDA SÃO RAFAEL;4.035.531.717.999.990;Produção;Sim
2506;FBE;48.065.471.222.000.000;Desenvolvimento;Não
2506;FBE;535.035.556.820.953;Produção;Não
2507;FBL;44.029.838.020.000.000;Desenvolvimento;Não
2507;FBL;938.325.984.904.713;Produção;Não
2508;FBM;10.117.737.386.499.900;Desenvolvimento;Não
2508;FBM;11.041.452.819.592.900;Produção;Não
1486;FC;16.012.923.980.000.000;Desenvolvimento;Não
1486;FC;5.276.274.145.856.550;Produção;Não
2155;FC;8.147.881.320.000.000;Desenvolvimento;Não
2155;FC;26.098.180.050.899;Produção;Não
1487;FCN;12204344.11;Desenvolvimento;Não
1487;FCN;403.055.744.140.833;Produção;Não
2156;FCN;9.108.486.940.000.000;Desenvolvimento;Não
2156;FCN;169.358.672.866.823;Produção;Não
2509;FGA;4.984.947.579.999.990;Desenvolvimento;Não
773;FGT;8.193.189.843.017;Desenvolvimento;Não
2511;FI;3.721.499.662.699.990;Desenvolvimento;Não
2511;FI;35.071.926.116.307.400;Produção;Não
2157;FJ;7.119.653.040.000.000;Desenvolvimento;Não
2157;FJ;23.094.511.864.754.000;Produção;Não
2852;FLORIM;12.078.133.866.999.900;Desenvolvimento;Não
